PC1,PC2,Cluster
13.919992174032771,-6.324496214610976,0
14.50190871041909,-6.372243972188827,0
2.6300649896962423,0.9744335488438505,0
3.8287111510736525,1.2982100329879447,0
4.225265747528,1.615944301197268,0
4.56809331595698,1.6999234005981154,0
-4.576263003264859,-0.25997676725071195,1
-4.112741871660215,0.33266953263288573,1
-4.1317048002408265,0.4125645491935894,1
-4.035998635951796,0.6232720217142759,1
14.260391819889119,-4.06397399245014,0
18.263234621254046,-4.320110826667144,0
17.94078492998092,-3.8050377950328587,0
19.15185015921439,-4.021564492399588,0
-2.709176173796293,-0.7365781722033282,1
-1.6248822712314115,-0.1476310651128208,1
-1.3179801841607208,0.08482922127259603,1
-1.7888668537570658,0.11380678329224855,1
2.8097405556587667,-0.21355695313811301,0
4.322024797946811,0.32967119352398555,0
5.13664041364248,0.10414930193708809,0
6.564817252753966,0.4591124292984428,0
